id,country_region,date,total_cases,total_deaths,total_recovered
97,Andorra,2021-02-28,10866.0,110.0,10756.0
98,Andorra,2021-03-31,12010.0,115.0,11895.0
99,Andorra,2021-04-30,13232.0,125.0,13107.0
100,Andorra,2021-05-31,13727.0,127.0,13600.0
101,Andorra,2021-06-30,13911.0,127.0,13784.0
102,Andorra,2021-07-31,14678.0,128.0,14550.0
103,Andorra,2021-08-31,15033.0,130.0,14903.0
104,Andorra,2021-09-30,15222.0,130.0,15092.0
105,Andorra,2021-10-31,15516.0,130.0,15386.0
106,Andorra,2021-11-30,17185.0,131.0,17054.0
107,Andorra,2021-12-31,23740.0,140.0,23600.0
108,Andorra,2022-01-31,35958.0,145.0,35813.0
109,Andorra,2022-02-28,37999.0,151.0,37848.0
110,Andorra,2022-03-31,40024.0,153.0,39871.0
111,Andorra,2022-04-30,41349.0,153.0,41196.0
112,Andorra,2022-05-14,42156.0,153.0,42003.0
113,Angola,2020-02-29,0.0,0.0,0.0
114,Angola,2020-03-31,7.0,2.0,5.0
115,Angola,2020-04-30,27.0,2.0,25.0
116,Angola,2020-05-31,86.0,4.0,82.0
117,Angola,2020-06-30,284.0,13.0,271.0
118,Angola,2020-07-31,1148.0,52.0,1096.0
119,Angola,2020-08-31,2654.0,108.0,2546.0
120,Angola,2020-09-30,4972.0,183.0,4789.0
121,Angola,2020-10-31,10805.0,284.0,10521.0
122,Angola,2020-11-30,15139.0,348.0,14791.0
123,Angola,2020-12-31,17553.0,405.0,17148.0
124,Angola,2021-01-31,19796.0,466.0,19330.0
125,Angola,2021-02-28,20807.0,508.0,20299.0
126,Angola,2021-03-31,22311.0,537.0,21774.0
127,Angola,2021-04-30,26652.0,596.0,26056.0
128,Angola,2021-05-31,34551.0,766.0,33785.0
129,Angola,2021-06-30,38849.0,900.0,37949.0
130,Angola,2021-07-31,42777.0,1011.0,41766.0
131,Angola,2021-08-31,47544.0,1217.0,46327.0
132,Angola,2021-09-30,57247.0,1548.0,55699.0
133,Angola,2021-10-31,64433.0,1710.0,62723.0
134,Angola,2021-11-30,65168.0,1733.0,63435.0
135,Angola,2021-12-31,81593.0,1770.0,79823.0
136,Angola,2022-01-31,98116.0,1895.0,96221.0
137,Angola,2022-02-28,98741.0,1900.0,96841.0
138,Angola,2022-03-31,99169.0,1900.0,97269.0
139,Angola,2022-04-30,99194.0,1900.0,97294.0
140,Angola,2022-05-14,99194.0,1900.0,97294.0
141,Anguilla,2020-02-29,0.0,0.0,0.0
142,Anguilla,2020-03-31,2.0,0.0,2.0
143,Anguilla,2020-04-30,3.0,0.0,3.0
144,Anguilla,2020-05-31,3.0,0.0,3.0
145,Anguilla,2020-06-30,3.0,0.0,3.0
146,Anguilla,2020-07-31,3.0,0.0,3.0
147,Anguilla,2020-08-31,3.0,0.0,3.0
148,Anguilla,2020-09-30,3.0,0.0,3.0
149,Anguilla,2020-10-31,3.0,0.0,3.0
